"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Fully Coupled Multiphysics Modeling of Superconductors for Microwave Devices","C. Le Lez; C. Quendo; B. Potelon; L. Teisserenc; T. Merlet","Lab-STICC, IMT Atlantique, Brest, France; Lab-STICC, Université de Bretagne Occidentale, Brest, France; Lab-STICC, IMT Atlantique, Brest, France; Thales LAS, Elancourt, France; Thales LAS, Elancourt, France",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","13","This article introduces a novel multiphysics modeling framework for the high-fidelity simulation of superconductors in microwave. The proposed approach integrates the time-dependent Ginzburg–Landau (TDGL) equations with full-field radio frequency (RF) finite element method (FEM) simulations to enable seamless coupling between superconducting physics and electromagnetic wave propagation. By relying on standard RF design tools and workflows, this methodology bridges fundamental superconducting phenomena with practical engineering applications, offering designers enhanced simulation accuracy without requiring specialized expertise in superconductor physics. Demonstrative implementations include a microstrip line and a microstrip coupled-line structure, where time-dependent insertion losses, mode impedances, and the dependence of Josephson junctions (JJs) on geometrical dimensions are analyzed. The presented examples relying on the implementation of this novel workflow in the COMSOL Multiphysics platform highlight its potential to predict power-dependent losses and critical thresholds dependence on geometry and temperature, providing crucial insights for the design of high-power RF systems. An extension of the study toward JJs within the same framework is presented, opening the way to fully coupled design methods for quantum sensors relying on both RF fields and Josephson effects. The compatibility of the model with commercial RF tools positions it as a powerful resource for advancing the development of superconducting technologies in microwave engineering.","1557-9670","","10.1109/TMTT.2026.3661890","Thales Land and Air Systems (LAS), Direction Générale de l'Armement (DGA), and Defense Science and Technology Laboratory (DSTL) through the CW-ITP Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11420260","Microwave devices;multiphysics modeling;numerical analysis;quantum devices;superconducting devices","Mathematical models;Superconducting microwave devices;Radio frequency;Superconducting devices;Superconducting transmission lines;SQUIDs;Yttrium barium copper oxide;Superconductivity;Josephson junctions;Multiphysics","","","","","IEEE","3 Mar 2026","","","IEEE","IEEE Early Access Articles"
"A Simple, Low-Cost Simultaneous Wireless Information and Power Transmission Method Based on Radiation-Reshaped Antenna","P. M. Wang; J. -H. Ou; S. F. Bo; J. Tang; J. Zeng; X. Y. Zhang","School of Electronic and Information Engineering and Pazhou Laboratory, South China University of Technology, Guangzhou, China; School of Future Technology, South China University of Technology, Guangzhou, China; School of Electronic and Information Engineering and Pazhou Laboratory, South China University of Technology, Guangzhou, China; School of Electronic and Information Engineering and Pazhou Laboratory, South China University of Technology, Guangzhou, China; Guangdong Shenglu Telecommunication Technology Company Ltd., Foshan, China; School of Microelectronics, South China University of Technology, Guangzhou, China",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","11","A simple simultaneous wireless information and power transmission (SWIPT) technique is proposed in this article. Different from conventional SWIPT methods, which need an extra control unit or circuit for separating information and power, the proposed one reallocates the transmitting power by employing a single antenna with reshaped far-field radiation. The antenna consists of a patch, a metal loop, and a parasitic patch, which are configured in a stacked structure. With proper excitation, hybrid reshaped radiation can be formed. The far-field radiation along the Z-axis is strengthened, which can be used for power transmission. The radiation in the XoY plane is also higher than that of a patch element, which is beneficial to information transmission. The less useful back-lobe radiation is suppressed to achieve a good front-to-back ratio. The mechanism of the antenna is studied, and a prototype is implemented. A demonstration system is finally built using a conventional Wi-Fi router, and the SWIPT strategy is validated. After the antenna replacement, energy transmission capability in the main lobe direction can be enhanced, and a low-power node can be driven successfully. Meanwhile, the communication function of the router can be maintained with lateral radiation, and the test signal can be received with a mobile phone.","1557-9670","","10.1109/TMTT.2026.3667897","National Natural Science Foundation of China(grant numbers:62271213,U23B2014); Guangdong Basic and Applied Basic Research Foundation(grant numbers:2023B1515130001); Fundamental Research Funds for the Central Universities(grant numbers:2025ZYGXZR031); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11420241","Front-to-back ratio;hybrid radiation;radiation reshaped;simultaneous wireless information and power transmission (SWIPT);stacked antenna","Antennas;Antenna radiation patterns;Couplings;Wireless communication;Transmitting antennas;Gain;Simultaneous wireless information and power transfer;Power transmission;Patch antennas;Metals","","","","","IEEE","3 Mar 2026","","","IEEE","IEEE Early Access Articles"
"A Compact 17–22 GHz CMOS Hybrid Variable Gain Amplifier With High Linearity and Wide Temperature Robustness for Phased-Array Applications","J. Luo; Y. Zhong; X. Zeng; W. Zhang; J. Dong; Z. Zhang; Q. Cheng","School of Electronics and Information, Hangzhou Dianzi University, Hangzhou, China; School of Electronics and Information, Hangzhou Dianzi University, Hangzhou, China; School of Mechanical Engineering, University of Science and Technology Beijing, Beijing, China; School of Electronics and Information, Hangzhou Dianzi University, Hangzhou, China; School of Electronics and Information, Hangzhou Dianzi University, Hangzhou, China; State Key Laboratory of Millimeter Waves, Southeast University, Nanjing, China; State Key Laboratory of Millimeter Waves, Southeast University, Nanjing, China",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","14","A high-performance hybrid variable gain amplifier (HVGA) for K-band phased-array applications is presented in a 55 nm CMOS process. The proposed HVGA adopts a role-partitioned triple-stacked current-steering amplifier (TS-CSA)– $\pi $ PA architecture, where a  $\pi $ -type passive attenuator ( $\pi $ PA) provides coarse attenuation while a TS-CSA performs fine gain stepping. Within the TS-CSA, a triple-stack core and a binary-weighted current-steering array suppress parasitic coupling and render temperature-induced variations largely common-mode across gain states, while a complementary capacitor co-switching scheme stabilizes the critical-node capacitance and suppresses state-dependent phase shifts. This hybrid topology improves the linearity–efficiency tradeoff and ensures wide-temperature consistency without temperature-compensation circuitry. The fabricated prototype occupies a compact 0.17-mm2 core area and provides a 15.5-dB gain control range (GCR) with 0.5-dB resolution over 17–22GHz. Measurements from  $- 55~^{\circ }$ C to  $125~^{\circ }$ C confirm stable gain-state consistency, with root-mean-square amplitude and phase errors below 0.35 dB and 3.5°, and temperature-induced variations within 0.22 dB and 0.8°, respectively. The minimum peak gain over 17–22 GHz at  $125~^{\circ }$ C remains above −0.71 dB. Even at  $125~^{\circ }$ C, the measured IP ${}_{\mathrm {1 dB}}$  remains better than −1.5 dBm with only 8.5 mW power consumption. These results demonstrate a compact, low-power, and thermally robust K-band gain-control solution for phased-array applications.","1557-9670","","10.1109/TMTT.2026.3667889","National Key Research and Development Program of China(grant numbers:2023YFB3811503); National Natural Science Foundation of China for Distinguished Young Scholars(grant numbers:62225108); National Natural Science Foundation of China(grant numbers:52302132); State Key Laboratory of Millimeter Waves, Southeast University(grant numbers:KN202501-01); Beijing Natural Science Foundation(grant numbers:L223029); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11420236","CMOS;current steering;K-band;phased-array system;π-type attenuator;temperature tolerance;variable gain amplifier","","","","","","IEEE","3 Mar 2026","","","IEEE","IEEE Early Access Articles"
"A Novel Differential T-Matrix Method for Electromagnetic Inverse Scattering Problems With Inhomogeneous Background Media","X. Zhang; X. Ye","School of Information and Electronics, Beijing Institute of Technology, Beijing, China; School of Information and Electronics, Beijing Institute of Technology, Beijing, China",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","15","Electromagnetic inverse scattering problems (EISPs) with inhomogeneous background media are frequently encountered, wherein both dielectric and perfect electric conductor (PEC) backgrounds/scatterers (referred to as mixed boundary problems hereafter) may coexist. In this article, a novel differential T-matrix method (DT-MM) is proposed to address such problems. First, an efficient modeling method for inhomogeneous background is proposed, which solely involves the differential formulations of T-matrices characterizing the medium properties and induced multipoles, thereby introducing no additional computational burden. Second, to mitigate the nonlinearity of EISPs, a DT-MM with a contraction scheme is further proposed to effectively reduce the degree of nonlinearity by appropriately configuring a hyperparameter. The sensitivity of the hyperparameter is analyzed, and a reliable selection strategy is provided. To solve EISPs, the spectral analysis of the mapping matrix is performed, and the differential-induced multipoles are decomposed into deterministic and ambiguous parts, with the latter being solved via subspace-based optimization method (SOM). Finally, representative numerical results are presented by processing both synthetic and experimental data to validate the accuracy, robustness, and generality of the proposed method. Comparisons with state-of-the-art inversion algorithms further demonstrate the advantages of the proposed method.","1557-9670","","10.1109/TMTT.2026.3667601","National Natural Science Foundation of China(grant numbers:61971036,62401618); Fundamental Research Funds for the Central Universities(grant numbers:2023CX01011); Beijing Nova Program(grant numbers:20230484361,20240484657); National Natural Science Foundation of Shandong Province(grant numbers:ZR20240F126); National Science and Technology Major Project of the Ministry of Science and Technology of China(grant numbers:9090104010108); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11420251","Contraction scheme;differential T-matrix method (DT-MM);electromagnetic inverse scattering problems (EISPs);inhomogeneous background media;mixed boundary;strong nonlinearity;subspace-based optimization method (SOM)","Nonhomogeneous media;Dielectrics;Green's function methods;Electromagnetics;Accuracy;Imaging;Permittivity;Electromagnetic scattering;Inverse problems;Image reconstruction","","","","","IEEE","3 Mar 2026","","","IEEE","IEEE Early Access Articles"
"Efficient Electromagnetic Simulation of Microstrip Circuits With Uniaxial Substrates Using the Method of Moments","H. Lin; T. Li; L. Wang; J. Zhuo; M. Zhuang; Q. H. Liu","Fujian Engineering Research Center for EDA, Fujian Provincial Key Laboratory of Electromagnetic Wave Science and Detection Technology, Xiamen Key Laboratory of Multiphysics Electronic Information, Institute of Electromagnetics and Acoustics, Xiamen University, Xiamen, China; Fujian Engineering Research Center for EDA, Fujian Provincial Key Laboratory of Electromagnetic Wave Science and Detection Technology, Xiamen Key Laboratory of Multiphysics Electronic Information, Institute of Electromagnetics and Acoustics, Xiamen University, Xiamen, China; Eastern Institute of Technology, Ningbo, China; Fujian Engineering Research Center for EDA, Fujian Provincial Key Laboratory of Electromagnetic Wave Science and Detection Technology, Xiamen Key Laboratory of Multiphysics Electronic Information, Institute of Electromagnetics and Acoustics, Xiamen University, Xiamen, China; Fujian Engineering Research Center for EDA, Fujian Provincial Key Laboratory of Electromagnetic Wave Science and Detection Technology, Xiamen Key Laboratory of Multiphysics Electronic Information, Institute of Electromagnetics and Acoustics, Xiamen University, Xiamen, China; Eastern Institute of Technology, Ningbo, China",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","11","In this work, the method of moments (MoM) for solving surface integral equations (SIEs) is presented for the simulation of circuits with uniaxial anisotropic substrates. The uniaxial anisotropic substrate is modeled as a planar layered uniaxial anisotropic background, and the corresponding layered medium Green’s functions (LMGFs) are utilized to establish an SIE for microstrip circuits. In order to remove the singularity arising in the integral equation (IE) formulated with the Green’s function of layered uniaxial anisotropic media at the chip-circuit scale, the radial–angular (RA) transform method is adopted to eliminate the first- and second-order singularities, corresponding to the mixed-potential IE (MPIE) and magnetic field IE (MFIE). Similar to isotropic substrate-based circuits, excitation of circuits on uniaxial anisotropic substrates through lumped ports enables the determination of their scattering parameter matrix. The primary contribution of this work is to broaden the applicability of the MoM in circuit simulation by enabling rigorous modeling of uniaxial substrates, thereby extending MoM-based solvers beyond their conventional formulation for microstrip circuits with isotropic substrates. In comparison with traditional approaches and commercial solvers, the proposed method requires meshing only of the circuit rather than the entire substrate. As a result, the number of degrees of freedom is greatly reduced, memory usage is significantly lowered, and the overall simulation efficiency is enhanced.","1557-9670","","10.1109/TMTT.2026.3662492","National Key Research and Development Program of China(grant numbers:2023YFB3002603); Natural Science Foundation of Xiamen(grant numbers:3502Z202473013); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11417399","Layered medium Green’s function (LMGF);method of moments (MoM);singularity;surface integral equation (SIE);uniaxial layered medium","Substrates;Circuits;Anisotropic;Method of moments;Surface impedance;Electromagnetics;Microwave circuits;Microstrip;Impedance;Integrated circuit modeling","","","","","IEEE","2 Mar 2026","","","IEEE","IEEE Early Access Articles"
"A Compact and High-Conversion-Gain W-Band Differential Distributed Frequency Doubler With Over-NeutralizingSecond-Harmonic Feedback","D. Yoo; B. -W. Min","Department of Electrical and Electronic Engineering, Yonsei University, Seoul, South Korea; Department of Electrical and Electronic Engineering, Yonsei University, Seoul, South Korea",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","11","This article presents a compact W-band distributed frequency doubler that achieves high-conversion gain (CG) by employing over-neutralized second-harmonic ( $2f_{0}$ ) feedback. The proposed two-stage distributed doubler consists of two push–push frequency doublers (PPFDs). A transmission line with a 90° electrical length is inserted between the two PPFD stages to generate in-phase and quadrature-phase signals. Compared to conventional quadrature-coupler-based topologies, this network achieves a smaller chip area and reduced insertion loss. Furthermore, cross-coupled capacitors ( $C_{cc}$ ) are connected from the drain of one PPFD to the gate of the other. By choosing  $C_{cc}$  larger than the parasitic gate-to-drain capacitor, over-neutralization is achieved. This converts the inherent negative feedback into positive feedback, enabling constructive summation at the drain. As a result, the doubler exhibits enhanced CG, total efficiency, saturated  $2f_{0}$  output power, and fundamental ( $f_{0}$ ) rejection. In addition, the matching network of the doubler is designed to operate as an input matching network at  $f_{0}$  and as a reflector at  $2f_{0}$ , compensating the phase variation of the positive-feedback path to ensure perfect constructive summation. The measured peak CG of the proposed doubler is 0.1 dB. The saturated output power is 6.7 dBm, and the peak total efficiency is 6.2% at a DC power consumption of 49 mW. The measured 3-dB bandwidth is 13.9 GHz, which is from 74.8 to 88.7 GHz, and within this bandwidth, the fundamental rejection ratio (FRR) exceeds 36 dBc. The core area is only 0.05 mm2, demonstrating the compactness of the proposed design.","1557-9670","","10.1109/TMTT.2026.3664409","Korea Planning and Evaluation Institute of Industrial Technology, KEIT(grant numbers:RS-2024-00508404); Ministry of Trade, Industry and Enegy (MOTIE) and in part by Samsung Electronics Company Ltd.,(grant numbers:IO201209-07875-01); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11415675","CMOS;cross-coupled capacitor;frequency doubler;frequency multiplier;harmonic rejection;high-conversion gain (CG);over-neutralizing;positive feedback","Power generation;Logic gates;MOS devices;Insertion loss;Capacitors;Baluns;Frequency conversion;Power transmission lines;Impedance;Equivalent circuits","","","","","IEEE","27 Feb 2026","","","IEEE","IEEE Early Access Articles"
"Highly Sensitive and Tunable Reflective-Mode Phase-Variation Microwave Sensor Using Varactor Diode: Application to Vibration Detection","X. Canalias; P. Vélez; P. Casacuberta; N. Kurniawati; F. Martín","Departament d’Enginyeria Electrònica, CIMITEC, Universitat Autònoma de Barcelona, Bellaterra, Barcelona, Spain; Departament d’Enginyeria Electrònica, CIMITEC, Universitat Autònoma de Barcelona, Bellaterra, Barcelona, Spain; Departament d’Enginyeria Electrònica, CIMITEC, Universitat Autònoma de Barcelona, Bellaterra, Barcelona, Spain; Departament d’Enginyeria Electrònica, CIMITEC, Universitat Autònoma de Barcelona, Bellaterra, Barcelona, Spain; Departament d’Enginyeria Electrònica, CIMITEC, Universitat Autònoma de Barcelona, Bellaterra, Barcelona, Spain",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","17","This article presents a reflective-mode phase-variation sensor implemented in microstrip technology, based on the combination of a step impedance resonator (SIR), the sensing element, and a capacitor. The capacitor can be implemented either by means of a patch (square or radial) or using a varactor diode. In both cases, high sensitivity is achieved provided the resonance (zero) and antiresonance (pole) frequencies generated by the SIR/capacitor structure are closely spaced. Additionally, a controllable sensitivity is obtained by tuning the bias voltage of the varactor. The proposed sensor solves a fundamental problem encountered in other similar resonance/antiresonance-based sensors implemented by combining a SIR with a grounded inductive strip, i.e., the magnetic coupling between the SIR and the strip, which tends to degrade the sensitivity. The maximum sensitivity achieved in one of the two reported sensors based on fixed capacitor (the one with a radial patch) is  $S_{\max } = - 4049.5^{\circ }$  per unit of dielectric constant, whereas the figure of merit (FoM), defined as the ratio between the maximum sensitivity and the area of the sensing region expressed in squared wavelengths, is FoM= 653  $145^{\circ }$ / $\lambda ^{2}$ , very competitive values. The tunable sensor is of interest since it can operate as a highly sensitive device with limited linearity (and dynamic range) or as a linear sensor with moderate sensitivity, thereby being a versatile monitoring device. Equivalent circuit models of the considered sensors are reported and used to understand and predict device behavior in terms of sensitivity. The sensors are experimentally validated. Particularly, the tunable sensor is applied to detect vibrations through the variations in proximity caused by a cantilever incorporated into the device.","1557-9670","","10.1109/TMTT.2026.3666266","Ministerio de Ciencia, Innovación y Universidades (MCIN)/Agencia Estatal de Investigación (AEI), Spain, through [European Regional Development Fund (ERDF) European Union](grant numbers:PID2022-139181OB-I00); Agència de Gestió d'Ajuts Universitaris i de Recerca (AGAUR) Research Agency, Catalonia Government(grant numbers:2021-SGR00192,2024 ICREA 00114); Ministerio de Universidades, Spain, through the Formación de Personal Investigador (FPI) Grant (Ayudas para la formación de profesorado universitario)(grant numbers:PREP2022-000364); Ramon y Cajal Program(grant numbers:RYC2022-035819-I.P); Ministerio de Universidades, Spain, through the Formación de Profesorado Universitario (FPU) Grant (Ayudas para la formación de profesorado universitario)(grant numbers:FPU20/05700); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11415669","Microstrip technology;microwave sensor;patch capacitor;permittivity sensor;reflective-mode sensor;resonance/antiresonance;step-impedance resonator (SIR);varactor diode;vibration detector","Sensors;Sensitivity;Frequency measurement;Integrated circuit modeling;Impedance;Couplings;Strips;Reflection coefficient;Capacitance;Varactors","","","","","IEEE","27 Feb 2026","","","IEEE","IEEE Early Access Articles"
"Efficient FMCW Radar Interference Suppression via Adaptive Learning Framework With Localized Sparse Prior","H. Zhang; S. Wei; Y. Cheng; S. Li; R. Min; J. Li; M. Wang; G. Cui","School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","14","Frequency-modulated continuous-wave (FMCW) radar systems suffer from severe mutual interference in dense low-altitude uncrewed aerial vehicle (UAV) environments, critically degrading target detection fidelity and spectral efficiency in shared microwave bands. To address the challenges above, this article proposes an adaptive perceptual learning target/interference network, named APLF-Net. Initially, a multivariate coupled perception model is proposed to co-optimize the objective function with auxiliary sparse priors. Subsequently, a stepwise alternating optimization framework is designed and integrated into a hierarchical deep feedforward network for enhancing flexibility. Within this framework, the hierarchical network structure is refined to mimic optimization steps, accelerating the model data processing. The threshold convolution module based on echo energy inference is proposed to prevent excessive sparsification. Furthermore, a novel unsupervised training strategy is introduced, which leverages the intrinsic connections within the signal model to invert the sparse representations output by the network back into the original input echo, thereby completing the loss term mapping. A series of simulations and real-world experiments demonstrates that, compared to existing state-of-the-art methods, APLF-Net can rapidly suppress interference and accurately extract targets, exhibiting good performance.","1557-9670","","10.1109/TMTT.2026.3664441","National Key Research and Development Program of China(grant numbers:2022YFB3901603,2022YFB3901604); National Natural Science Foundation of China(grant numbers:62271108,62371104,62401119); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11415672","Frequency-modulated continuous-wave (FMCW) radar;hierarchical network;interference suppression;unsupervised training","Interference;Radar;Interference suppression;Chirp;Low-pass filters;Time-domain analysis;Radar antennas;Optimization;Feature extraction;Adaptive filters","","","","","IEEE","27 Feb 2026","","","IEEE","IEEE Early Access Articles"
"Analysis of the 16-Term Error Model Coefficients: Evaluating Measurement Setup Leakages and Their Impact on Transistor Characterization up to 325 GHz","T. Bouzar; J. Varghese; J. -D. Arnould; N. Derrier; M. De Matos; L. Vincent; D. Passerieux; T. Zimmer; S. Fregonese","IMS (UMR 5218), Univ. Bordeaux, CNRS, Bordeaux INP, Talence, France; IMS (UMR 5218), Univ. Bordeaux, CNRS, Bordeaux INP, Talence, France; Université Grenoble Alpes, Grenoble INP, TIMA, Grenoble, France; STMicroelectronics, Crolles, France; IMS (UMR 5218), Univ. Bordeaux, CNRS, Bordeaux INP, Talence, France; Université Grenoble Alpes, Grenoble INP, TIMA, Grenoble, France; Université of Limoges, CNRS, XLIM, Limoges, France; IMS (UMR 5218), Univ. Bordeaux, CNRS, Bordeaux INP, Talence, France; IMS (UMR 5218), Univ. Bordeaux, CNRS, Bordeaux INP, Talence, France",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","10","This study investigates the error terms of two calibration methods—self-consistent thru–reflect–line (TRL) calibration and a comprehensive 16-term (16T) calibration. Despite fundamental differences in calibration standards and algorithmic approaches, the results show quasi-identical error terms, confirming that both methods effectively eliminate systematic errors with comparable accuracy. Additionally, the study examines the eight supplementary leakage terms introduced in the 16T model, analyzing their dependence on vector network analyzer (VNA) hardware and probe design. Measurements have been carried out in different labs with different hardware setups. The findings indicate that major leakage effects occur primarily at the probe level, influenced by the probe’s front-end geometry, including microcoaxial cable and coaxial to coplanar waveguide (CPW) or microstrip line transition design, and signal-to-ground tip pitch. Ultimately, we reveal that for smaller high-frequency devices, the full 16T calibration model is essential. Compared to TRL, it provides a more comprehensive error correction, ensuring greater precision in S-parameter measurements and improving the accuracy of the determination of key figures of merit (FOMs), such as maximum oscillation frequency ( $f_{MAX}$ ) and transit frequency ( $f_{T}$ ) of a silicon-germanium heterojunction bipolar transistor (SiGe HBT).","1557-9670","","10.1109/TMTT.2026.3666244","French National Agency Agence Nationale de la Recherche (ANR) PRECISE(grant numbers:ANR-22-CE24-0027); European Sustainable TecHnologies Enabling Future Telecommunication Applications (SHIFT) Project through the Chips Joint Undertaking and its Members; France 2030 and Banque Publique d'Investissement Française (BPIFRANCE)(grant numbers:101096256); STMicroelectronics for the Silicon Wafers; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11415702","16-term (16T) calibration;BiCMOS;on-wafer calibration;radio frequency (RF) probes;S-parameters;silicon-germanium heterojunction bipolar transistor (SiGe HBT);thru–reflect–line (TRL) calibration;transistor","Calibration;Probes;Standards;Heterojunction bipolar transistors;Frequency measurement;Measurement uncertainty;Geometry;Semiconductor device measurement;Scattering parameters;Accuracy","","","","","IEEE","27 Feb 2026","","","IEEE","IEEE Early Access Articles"
"LO Leakage Suppression in Resistive Zero-IF IQ Mixers Beyond 100 GHz","P. Umbach; F. Thome; A. Leuther; R. Quay","Fraunhofer Institute for Applied Solid State Physics IAF, Freiburg im Breisgau, Germany; Fraunhofer Institute for Applied Solid State Physics IAF, Freiburg im Breisgau, Germany; Fraunhofer Institute for Applied Solid State Physics IAF, Freiburg im Breisgau, Germany; Fraunhofer Institute for Applied Solid State Physics IAF, Freiburg im Breisgau, Germany",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","11","In this article, the monolithic integration of an adaptive local oscillator (LO) leakage cancellation circuit together with an unbalanced resistive in-phase and quadrature (IQ) high-electron-mobility transistor (HEMT) mixer is presented. The proposed calibration algorithm for the cancellation signal is tolerant against any nonideal component responses. A typical LO-to-radio frequency (RF) isolation of 60 dB is achieved, which corresponds to a LO leakage of −55 dBm at saturated mixer operation. To the best of the authors’ knowledge, this is the highest reported performance of a monolithic approach beyond 100 GHz. As part of this work, the leakage cancellation’s sensitivity with regard to environmental changes is investigated. Furthermore, a semi-balanced IQ mixer is implemented in the same technology. An analytic equation for its LO suppression as a function of amplitude and phase imbalance is derived. Detailed comparisons of the output spectra of both mixers, their two-tone intermodulation distortion characteristics, and noise figures (NFs) complement this study.","1557-9670","","10.1109/TMTT.2026.3664202","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11415689","High-electron-mobility transistor (HEMT);image reject (IR);local oscillator (LO) leakage;millimeter-wave (mmW);mixers;monolithic microwave integrated circuits (MMICs)","Mixers;Radio frequency;Frequency modulation;Logic gates;Receivers;Tuning;Voltage measurement;Microwave filters;Linearity;Bandwidth","","","","","CCBY","27 Feb 2026","","","IEEE","IEEE Early Access Articles"
